playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
834,36800,Todd Helton,26,COL,9.6,169,8,70.5,0.7,24,160,697,580,138,216,113,59,2,42,147,5,3,103,61,4,405,0.372,0.463,0.698,1.162,0.326,0.357,1300000
1292,36800,Alex Rodriguez,24,SEA,9.3,158,8,57.6,5.3,5.6,148,672,554,134,175,98,34,2,41,132,15,4,100,121,7,336,0.316,0.42,0.606,1.026,0.291,0.333,4362500
436,36800,Barry Bonds,35,SFN,8.9,183,9,73.4,2,5,143,607,480,129,147,66,28,4,49,106,11,3,117,77,3,330,0.306,0.44,0.688,1.127,0.381,0.271,10700000
879,36800,Troy Glaus,23,ANA,8.5,152,8,52.6,1.7,12.9,159,678,563,120,160,75,37,1,47,102,14,11,112,163,2,340,0.284,0.404,0.604,1.008,0.32,0.319,275000
1321,36800,Nomar Garciaparra,26,BOS,7.7,153,10,47.2,-2.5,10.5,140,599,529,104,197,122,51,3,21,96,5,2,61,50,2,317,0.372,0.434,0.599,1.033,0.227,0.378,3700000
875,36800,Darin Erstad,26,ANA,7.6,129,10,34.6,4.4,25.1,157,747,676,121,240,170,39,6,25,100,28,8,64,82,1,366,0.355,0.409,0.541,0.951,0.186,0.375,2500000
1583,36800,Jason Giambi,29,OAK,7.4,181,11,78,-3.7,-2.4,152,664,510,108,170,97,29,1,43,137,2,0,137,96,9,330,0.333,0.476,0.647,1.123,0.314,0.335,3103333
19,36800,Richard Hidalgo,25,HOU,7.2,143,9,42.1,-1.8,16.1,153,644,558,118,175,86,42,3,44,122,13,6,56,110,21,355,0.314,0.391,0.636,1.028,0.323,0.317,#N/A
86,36800,Andruw Jones,23,ATL,7,124,7,28.6,4.1,17.4,161,729,656,122,199,121,36,6,36,104,21,6,59,100,9,355,0.303,0.366,0.541,0.907,0.238,0.31,3700000
4,36800,Jeff Bagwell,32,HOU,7,156,10,59.9,0.6,6.1,159,719,590,152,183,98,37,1,47,132,9,6,107,116,15,363,0.31,0.424,0.615,1.039,0.305,0.313,6500000
453,36800,Jeff Kent,32,SFN,6.9,152,6,53.8,-3.4,3.6,159,695,587,114,196,115,41,7,33,125,12,9,90,107,9,350,0.334,0.424,0.596,1.021,0.262,0.357,6000000
650,36800,Bobby Abreu,26,PHI,6.7,137,7,39,-1.4,21.2,154,680,576,103,182,105,42,10,25,79,28,8,100,116,1,319,0.316,0.416,0.554,0.97,0.238,0.358,2933000
574,36800,Mike Piazza,31,NYN,6.7,154,8,43.7,-3,4.8,136,545,482,90,156,92,26,0,38,113,4,2,58,69,3,296,0.324,0.398,0.614,1.012,0.29,0.313,12071429
177,36800,Jim Edmonds,30,SLN,6.6,145,7,43.7,1.7,4.1,152,643,525,129,155,88,25,0,42,108,10,3,103,167,6,306,0.295,0.411,0.583,0.994,0.288,0.349,4500000
775,36800,Ken Griffey,30,CIN,6.3,133,8,32.6,-1.7,14.7,145,631,520,100,141,76,22,3,40,118,6,4,94,117,9,289,0.271,0.387,0.556,0.942,0.285,0.272,#N/A
538,36800,Edgardo Alfonzo,26,NYN,6.2,148,7,47.3,1.5,-1.4,150,650,544,109,176,109,40,2,25,94,3,2,95,70,5,295,0.324,0.425,0.542,0.967,0.219,0.332,4000000
404,36800,Vladimir Guerrero,25,MON,6.2,159,8,56.3,-3,0.1,154,641,571,101,197,114,28,11,44,123,9,10,58,74,8,379,0.345,0.41,0.664,1.074,0.319,0.335,3500000
981,36800,Carlos Delgado,28,TOR,6.1,170,8,72.5,-6.9,-8,162,711,569,115,196,97,57,1,41,137,0,1,123,104,15,378,0.344,0.47,0.664,1.134,0.32,0.362,6600000
1562,36800,Frank Thomas,32,CHA,6.1,163,9,65.6,-6.1,-2.4,159,707,582,115,191,104,44,0,43,143,1,3,112,94,5,364,0.328,0.436,0.625,1.061,0.297,0.327,7100000
717,36800,Brian Giles,29,PIT,5.9,143,9,45.4,1.6,-3,156,688,559,111,176,97,37,7,35,123,6,0,114,69,7,332,0.315,0.432,0.594,1.026,0.279,0.305,1616667
85,36800,Chipper Jones,28,ATL,5.8,140,8,42.4,3.8,-9.2,156,686,579,118,180,105,38,1,36,111,14,7,95,64,2,328,0.311,0.404,0.566,0.97,0.256,0.294,4750000
1564,36800,Jose Valentin,30,CHA,5.7,100,10,4.5,5.8,20.9,144,648,568,107,155,87,37,6,25,92,19,2,59,106,4,279,0.273,0.343,0.491,0.835,0.218,0.295,1320000
271,36800,Sammy Sosa,31,CHN,5.6,150,6,53,-5.1,-1.9,156,705,604,106,193,104,38,1,50,138,7,4,91,168,2,383,0.32,0.406,0.634,1.04,0.315,0.363,11000000
1423,36800,Bobby Higginson,29,DET,5.6,126,8,28,3,12.7,154,678,597,104,179,101,44,4,30,102,15,3,74,99,2,321,0.3,0.377,0.538,0.915,0.238,0.316,4425000
3,36800,Brad Ausmus,31,DET,5.5,89,10,-5.1,0.9,32.9,150,604,523,75,139,104,25,3,7,51,11,5,69,79,6,191,0.266,0.357,0.365,0.722,0.099,0.301,4000000
106,36800,Gary Sheffield,31,LAN,5.4,167,11,60.1,-2.8,-14.3,141,612,501,105,163,93,24,3,43,109,4,6,101,71,4,322,0.325,0.438,0.643,1.081,0.317,0.305,9916667
92,36800,Javy Lopez,29,ATL,5.2,105,11,6.9,-3.5,26,134,525,481,60,138,92,21,1,24,89,0,0,35,80,4,233,0.287,0.337,0.484,0.822,0.198,0.298,6250000
1163,36800,Edgar Martinez,37,SEA,5.1,155,11,54.4,-7.7,0.1,153,665,556,100,180,112,31,0,37,145,3,0,96,95,5,322,0.324,0.423,0.579,1.002,0.255,0.331,5400000
964,36800,Miguel Tejada,26,OAK,5,113,8,16.8,3.7,2.3,160,681,607,105,167,104,32,1,30,115,6,0,66,102,4,291,0.275,0.349,0.479,0.828,0.204,0.287,290000
1310,36800,Johnny Damon,26,KCA,5,115,8,19.4,11.2,3.1,159,741,655,136,214,146,42,10,16,88,46,9,65,60,1,324,0.327,0.382,0.495,0.877,0.168,0.335,4000000
1015,36800,Shannon Stewart,26,TOR,4.8,115,9,17.1,3,15.9,136,631,583,107,186,117,43,5,21,69,20,5,37,79,6,302,0.319,0.363,0.518,0.882,0.199,0.339,683333
1342,36800,Manny Ramirez,28,CLE,4.7,178,9,60.7,-2.8,-16.7,118,532,439,92,154,80,34,2,38,122,1,1,86,117,3,306,0.351,0.457,0.697,1.154,0.346,0.403,4350000
905,36800,Tim Salmon,31,ANA,4.7,136,10,37.6,-6.5,7.5,158,680,568,108,165,93,36,2,34,97,0,2,104,139,6,307,0.29,0.404,0.54,0.945,0.25,0.33,6000000
1602,36800,Jorge Posada,28,NYA,4.7,134,10,33.2,-6.3,-6.6,151,624,505,92,145,81,35,1,28,86,2,2,107,151,8,266,0.287,0.417,0.527,0.943,0.24,0.355,1250000
297,36800,Luis Gonzalez,32,ARI,4.6,129,8,33.5,-0.5,-0.8,162,722,618,106,192,112,47,2,31,114,2,4,78,85,12,336,0.311,0.392,0.544,0.935,0.233,0.313,#N/A
926,36800,Jermaine Dye,26,KCA,4.5,130,8,32.5,0.9,1.9,157,679,601,107,193,117,41,2,33,118,0,1,69,99,3,337,0.321,0.39,0.561,0.951,0.24,0.337,2300000
139,36800,Geoff Jenkins,25,MIL,4.4,127,11,24.2,-1.2,10.8,135,564,512,100,155,81,36,4,34,94,11,1,33,135,15,301,0.303,0.36,0.588,0.948,0.285,0.349,282000
296,36800,Steve Finley,35,ARI,4.3,124,10,24.7,4.3,-4.1,152,623,539,100,151,84,27,5,35,96,12,6,65,87,8,293,0.28,0.361,0.544,0.904,0.263,0.272,5375000
207,36800,Scott Rolen,25,PHI,4.3,125,8,21.8,2.1,2.8,128,541,483,88,144,80,32,6,26,89,8,1,51,99,5,266,0.298,0.37,0.551,0.92,0.253,0.328,2750000
1142,36800,Mike Cameron,27,SEA,4.3,108,10,11,4.1,8.5,155,643,543,96,145,94,28,4,19,78,24,7,78,133,9,238,0.267,0.365,0.438,0.803,0.171,0.317,2225000
636,36800,Phil Nevin,29,SDN,4.2,124,10,24.1,-1.4,0.9,143,605,538,87,163,97,34,1,31,107,2,0,59,121,4,292,0.303,0.374,0.543,0.916,0.24,0.338,875000
1260,36800,Carl Everett,29,BOS,4.2,134,10,30,-0.9,-3.2,137,561,496,82,149,79,32,4,34,108,11,4,52,113,8,291,0.3,0.373,0.587,0.959,0.286,0.325,5000333
17361,36800,Mark McGwire,36,SLN,4.1,191,13,42,-4.4,2.6,89,321,236,60,72,32,8,0,32,73,1,0,76,78,7,176,0.305,0.483,0.746,1.229,0.441,0.313,9333333
1622,36800,Bernie Williams,31,NYA,4,130,8,28.9,-0.5,-6.3,141,616,537,108,165,92,37,6,30,121,13,5,71,84,5,304,0.307,0.391,0.566,0.957,0.259,0.317,12357143
1291,36800,Ivan Rodriguez,28,TEX,3.9,136,9,21.6,-1.5,2.5,91,389,363,66,126,68,27,4,27,83,5,5,19,48,1,242,0.347,0.375,0.667,1.042,0.32,0.337,8200000
1401,36800,Mike Sweeney,26,KCA,3.9,132,7,36.1,1.8,-4.5,159,717,618,105,206,147,30,0,29,144,8,3,71,67,15,323,0.333,0.407,0.523,0.93,0.189,0.331,2250000
455,36800,Kenny Lofton,33,CLE,3.7,100,8,4.1,8.4,5.5,137,640,543,107,151,108,23,5,15,73,30,7,79,72,4,229,0.278,0.369,0.422,0.791,0.144,0.293,7500000
1127,36800,Jim Thome,29,CLE,3.7,126,11,29.1,-0.4,3.2,158,684,557,106,150,79,33,1,37,106,1,0,118,171,4,296,0.269,0.398,0.531,0.929,0.262,0.319,7875000
1070,36800,Greg Vaughn,34,TBA,3.7,123,9,20.6,6.5,2.2,127,545,461,83,117,61,27,1,28,74,8,1,80,128,2,230,0.254,0.365,0.499,0.864,0.245,0.29,7750000
539,36800,Roberto Alomar,32,CLE,3.7,107,10,10.9,0.8,6.7,155,697,610,111,189,128,40,2,19,89,39,4,64,82,6,290,0.31,0.378,0.475,0.853,0.166,0.33,7250000
1615,36800,Robin Ventura,32,NYN,3.6,109,12,10,-1.2,10.3,141,551,469,61,109,61,23,1,24,84,3,5,75,91,2,206,0.232,0.338,0.439,0.777,0.207,0.237,8000000
1081,36800,Ellis Burks,35,SFN,3.6,149,11,33.4,-2.7,-1.4,122,458,393,74,135,85,21,5,24,96,5,1,56,49,1,238,0.344,0.419,0.606,1.025,0.262,0.338,5500000
1282,36800,Rafael Palmeiro,35,TEX,3.5,137,10,39.2,-1.8,-7.2,158,678,565,102,163,92,29,3,39,120,2,1,103,77,3,315,0.288,0.397,0.558,0.954,0.269,0.272,9000000
428,36800,Jose Vidro,25,MON,3.5,119,10,21.9,-1.8,-2.5,153,663,606,101,200,123,51,2,24,97,5,4,49,69,2,327,0.33,0.379,0.54,0.918,0.21,0.339,340000
1351,36800,Jason Varitek,28,BOS,3.4,91,11,-3.1,-2.5,16.4,139,519,448,55,111,69,31,1,10,65,1,1,60,84,6,174,0.248,0.342,0.388,0.73,0.141,0.282,375000
1589,36800,Derek Jeter,26,NYA,3.4,124,7,26.6,7.6,-28.9,148,679,593,119,201,151,31,4,15,73,22,4,68,99,12,285,0.339,0.416,0.481,0.896,0.142,0.386,10000000
1550,36800,Magglio Ordonez,26,CHA,3.4,125,11,27.1,3.5,-7.8,153,665,588,102,185,116,34,3,32,126,18,4,60,64,2,321,0.315,0.371,0.546,0.917,0.231,0.302,450000
162,36800,Eric Young,33,CHN,3.2,93,7,-2.7,7.9,9,153,690,607,98,180,132,40,2,6,47,54,7,63,39,8,242,0.297,0.367,0.399,0.766,0.102,0.307,4500000
1147,36800,Jeff Cirillo,30,COL,3.2,104,8,8.4,-0.7,2.4,157,684,598,111,195,129,53,2,11,115,3,4,67,72,6,285,0.326,0.392,0.477,0.869,0.151,0.349,3600000
923,36800,Eric Chavez,22,OAK,3.2,114,9,14.8,-0.2,-0.5,153,569,501,89,139,86,23,4,26,86,2,2,62,94,1,248,0.277,0.355,0.495,0.85,0.218,0.293,240000
724,36800,Jason Kendall,26,PIT,3.2,122,10,25.2,5,-30.4,152,678,579,112,185,132,33,6,14,58,22,12,79,79,15,272,0.32,0.412,0.47,0.882,0.15,0.349,2250000
1094,36800,Travis Fryman,31,CLE,3,123,9,24.7,-5.1,-10.7,155,658,574,93,184,120,38,4,22,106,1,1,73,111,1,296,0.321,0.392,0.516,0.908,0.195,0.359,5550000
340,36800,Adrian Beltre,21,LAN,3,107,10,9,-5.7,8.4,138,575,510,71,148,96,30,2,20,85,12,5,56,80,2,242,0.29,0.36,0.475,0.835,0.184,0.309,1000000
251,36800,Todd Hundley,31,LAN,3,138,10,20.8,-1.6,-4.6,90,353,299,49,85,45,16,0,24,70,0,1,45,69,2,173,0.284,0.375,0.579,0.954,0.294,0.288,6125000
10650,36800,Damian Miller,30,ARI,3,95,10,-0.3,1,13,100,364,324,43,89,55,24,0,10,44,2,2,36,74,1,143,0.275,0.347,0.441,0.788,0.167,0.326,300000
1171,36800,John Olerud,31,SEA,3,115,7,18.1,-2.2,8.2,159,683,565,84,161,102,45,0,14,103,0,2,102,96,4,248,0.285,0.392,0.439,0.831,0.154,0.316,6350000
1192,36800,Tony Batista,26,TOR,3,107,10,10.5,-4.4,1.8,154,664,620,96,163,88,32,2,41,114,5,4,35,121,6,322,0.263,0.307,0.519,0.827,0.256,0.265,1400000
174,36800,J.D. Drew,24,SLN,2.9,112,9,11,1.4,7.4,135,486,407,73,120,83,17,2,18,57,17,9,67,99,6,195,0.295,0.401,0.479,0.88,0.184,0.351,2750000
615,36800,Ron Gant,35,PHI,2.8,114,11,9.8,1.3,9.4,89,384,343,54,87,49,16,2,20,38,5,4,36,73,1,167,0.254,0.324,0.487,0.811,0.233,0.265,5040000
547,36800,Jeromy Burnitz,31,MIL,2.8,114,6,17.2,-0.5,-0.5,161,686,564,91,131,69,29,2,31,98,6,4,99,121,14,257,0.232,0.356,0.456,0.811,0.223,0.238,4462500
628,36800,Ryan Klesko,29,SDN,2.8,131,10,28.6,-0.6,-5.4,145,590,494,88,140,79,33,2,26,92,23,7,91,81,1,255,0.283,0.393,0.516,0.909,0.233,0.292,5750000
1395,36800,Joe Randa,30,KCA,2.7,97,8,1.2,-1.3,5.8,158,665,612,88,186,138,29,4,15,106,6,3,36,66,6,268,0.304,0.343,0.438,0.781,0.134,0.316,1000000
300,36800,Mark Grace,36,CHN,2.7,114,8,15.8,-0.6,7,143,621,510,75,143,90,41,1,11,82,1,2,95,28,6,219,0.28,0.394,0.429,0.824,0.149,0.276,5300000
73,36800,Rafael Furcal,22,ATL,2.7,92,7,-2.6,8.4,0.3,131,542,455,87,134,106,20,4,4,37,40,14,73,80,3,174,0.295,0.394,0.382,0.776,0.088,0.349,200000
939,36800,David Justice,34,NYA,2.7,136,9,17.5,-1.3,6.3,78,317,275,43,84,47,17,0,20,60,1,0,39,42,1,161,0.305,0.391,0.585,0.977,0.28,0.298,7000000
1597,36800,Raul Mondesi,29,TOR,2.6,112,10,9.8,4.2,5.9,96,426,388,78,105,57,22,2,24,67,22,6,32,73,3,203,0.271,0.329,0.523,0.852,0.253,0.276,10000000
925,36800,Ray Durham,28,CHA,2.6,99,8,3.1,3.5,0,151,709,614,121,172,111,35,9,17,75,25,13,75,105,7,276,0.28,0.361,0.45,0.81,0.169,0.31,4900000
205,36800,Edgar Renteria,23,SLN,2.6,94,8,-1.7,0.9,-1.2,150,643,562,94,156,107,32,1,16,76,21,13,63,77,1,238,0.278,0.346,0.423,0.77,0.146,0.293,2250000
827,36800,Bobby Estalella,25,SFN,2.6,106,8,5.4,2.5,1.4,106,361,299,45,70,31,22,3,14,53,3,0,57,92,2,140,0.234,0.357,0.468,0.826,0.234,0.286,215000
221,36800,Moises Alou,33,HOU,2.6,152,12,40,-3.2,-20.7,126,517,454,82,161,101,28,2,30,114,3,3,52,45,2,283,0.355,0.416,0.623,1.039,0.269,0.338,5250000
1614,36800,John Vander Wal,34,PIT,2.5,133,11,23.8,0.6,-5.7,134,461,384,74,115,62,29,0,24,94,11,2,72,92,2,216,0.299,0.41,0.563,0.972,0.263,0.336,875000
838,36800,Gabe Kapler,24,TEX,2.5,105,10,6.6,0.2,5.3,116,491,444,59,134,87,32,1,14,66,8,4,42,57,0,210,0.302,0.36,0.473,0.833,0.171,0.319,305000
1543,36800,Carlos Lee,24,CHA,2.5,102,9,5.7,6.9,-0.5,152,619,572,107,172,117,29,2,24,92,13,4,38,94,3,277,0.301,0.345,0.484,0.829,0.184,0.322,275000
736,36800,Pokey Reese,27,CIN,2.5,82,7,-11.1,6,14.3,135,577,518,76,132,94,20,6,12,46,29,3,45,86,6,200,0.255,0.319,0.386,0.705,0.131,0.282,1950000
966,36800,Randy Velarde,37,OAK,2.5,98,11,1.6,1.1,7.4,122,546,485,82,135,100,23,0,12,41,9,3,54,95,3,194,0.278,0.354,0.4,0.754,0.122,0.325,3050000
16880,36800,Will Clark,36,BAL,2.5,139,11,18.5,0.1,4.3,79,310,256,49,77,52,15,1,9,28,4,2,47,45,4,121,0.301,0.413,0.473,0.886,0.172,0.332,6000000
1487,36800,Corey Koskie,27,MIN,2.4,105,7,7.5,1.3,-2.5,146,559,474,79,142,97,32,4,9,65,5,4,77,104,4,209,0.3,0.4,0.441,0.841,0.141,0.365,245000
1413,36800,Damion Easley,30,DET,2.4,94,8,-1,-0.2,11.2,126,535,464,76,120,77,27,2,14,58,13,4,55,79,11,193,0.259,0.35,0.416,0.766,0.157,0.285,3875000
936,36800,Ramon Hernandez,24,OAK,2.4,80,9,-10.3,1.3,11,143,479,419,52,101,68,19,0,14,62,1,0,38,64,7,162,0.241,0.311,0.387,0.698,0.146,0.251,211000
1317,36800,Cliff Floyd,27,FLO,2.4,126,11,20.1,2.4,-8.3,121,487,420,75,126,74,30,0,22,91,24,3,50,82,8,222,0.3,0.378,0.529,0.906,0.229,0.32,4500000
760,36800,Sean Casey,25,CIN,2.4,116,8,15.1,-2.4,6.9,133,545,480,69,151,96,33,2,20,85,1,0,52,80,7,248,0.315,0.385,0.517,0.902,0.202,0.339,400000
862,36800,Todd Zeile,34,NYN,2.4,109,10,11.3,-2.8,10.2,153,623,544,67,146,85,36,3,22,79,3,4,74,85,2,254,0.268,0.356,0.467,0.823,0.199,0.282,4333333
629,36800,Mark Kotsay,24,FLO,2.4,94,9,-0.9,2.5,11.7,152,578,530,87,158,110,31,5,12,57,19,9,42,46,0,235,0.298,0.347,0.443,0.791,0.145,0.307,324000
511,36800,Mike Lowell,26,FLO,2.4,109,9,10.6,-3.8,-2.4,140,582,508,73,137,77,38,0,22,91,4,0,54,75,9,241,0.27,0.344,0.474,0.818,0.205,0.273,255000
1426,36800,Damian Jackson,26,SDN,2.3,83,7,-9.2,1.6,11.4,138,541,470,68,120,81,27,6,6,37,28,6,62,108,3,177,0.255,0.345,0.377,0.721,0.121,0.318,250000
893,36800,Bengie Molina,25,ANA,2.3,88,10,-5,-0.1,4.3,130,513,473,59,133,97,20,2,14,71,1,0,23,33,6,199,0.281,0.318,0.421,0.739,0.14,0.275,210000
846,36800,Jay Payton,27,NYN,2.3,97,10,1.2,1.1,4.3,149,529,488,63,142,101,23,1,17,62,5,11,30,60,3,218,0.291,0.331,0.447,0.778,0.156,0.298,215000
496,36800,Luis Castillo,24,FLO,2.3,99,7,2.9,8.4,-5.5,136,626,539,101,180,158,17,3,2,17,62,22,78,86,0,209,0.334,0.418,0.388,0.806,0.054,0.395,#N/A
15868,36800,Quilvio Veras,29,ATL,2.3,103,9,3.6,0.9,9,84,364,298,56,92,72,15,0,5,37,25,12,51,50,5,122,0.309,0.413,0.409,0.823,0.101,0.352,3000000
1285,36800,Herbert Perry,30,CHA,2.3,95,9,-0.5,2.7,7.5,109,420,383,69,118,76,29,1,12,61,4,1,22,68,9,185,0.308,0.356,0.483,0.839,0.175,0.345,#N/A
115,36800,Ronnie Belliard,25,MIL,2.3,94,7,-1.1,3.6,1.9,152,667,571,83,150,103,30,9,8,54,7,5,82,84,3,222,0.263,0.354,0.389,0.743,0.126,0.292,250000
353,36800,Shawn Green,27,LAN,2.3,108,8,12.7,1.6,-4.2,162,714,610,98,164,92,44,4,24,99,24,5,90,121,8,288,0.269,0.367,0.472,0.839,0.203,0.297,9416667
1300,36800,Benny Agbayani,28,NYN,2.3,121,10,14.4,0,-0.1,119,414,350,59,101,66,19,1,15,60,5,5,54,68,7,167,0.289,0.391,0.477,0.868,0.189,0.319,220000
215,36800,Fernando Vina,31,SLN,2.3,98,10,1.9,2.7,3,123,554,487,81,146,112,24,6,4,31,10,8,36,36,28,194,0.3,0.38,0.398,0.779,0.099,0.317,2300000
860,36800,Larry Walker,33,COL,2.2,111,11,8.2,-1.2,9,87,372,314,64,97,60,21,7,9,51,5,5,46,40,9,159,0.309,0.409,0.506,0.915,0.197,0.328,12142857
1339,36800,Trot Nixon,26,BOS,2.2,108,11,8.6,-2.3,6.9,123,502,427,66,118,71,27,8,12,60,8,1,63,85,2,197,0.276,0.368,0.461,0.83,0.185,0.316,270000
433,36800,Rich Aurilia,28,SFN,2.2,95,8,-0.3,-3.7,1.1,141,571,509,67,138,92,24,2,20,79,1,2,54,90,0,226,0.271,0.339,0.444,0.783,0.173,0.293,1200000
536,36800,Preston Wilson,25,FLO,2.2,100,10,4,0,-3.7,161,674,605,94,160,91,35,3,31,121,36,14,55,187,8,294,0.264,0.331,0.486,0.817,0.221,0.328,287000
